"","1 Y 2015-12-28 to 2017-12-29","1 Y 2016-01-28 to 2018-01-29","1 Y 2016-02-29 to 2018-03-01","1 Y 2016-03-28 to 2018-03-29","1 Y 2016-04-28 to 2018-04-29","1 Y 2016-05-31 to 2018-05-29","1 Y 2016-06-28 to 2018-06-29","1 Y 2016-07-28 to 2018-07-29","1 Y 2016-08-29 to 2018-08-29","1 Y 2016-09-28 to 2018-09-29","1 Y 2016-10-28 to 2018-10-29","1 Y 2016-11-28 to 2018-11-29","1 Y 2016-12-28 to 2018-12-29","1 Y 2017-01-30 to 2019-01-29","1 Y 2017-02-28 to 2019-03-01","1 Y 2017-03-28 to 2019-03-29","1 Y 2017-04-28 to 2019-04-29","1 Y 2017-05-30 to 2019-05-29","1 Y 2017-06-28 to 2019-06-29","1 Y 2017-07-28 to 2019-07-29","1 Y 2017-08-28 to 2019-08-29","1 Y 2017-09-28 to 2019-09-29","1 Y 2017-10-30 to 2019-10-29","1 Y 2017-11-28 to 2019-11-29","1 Y 2017-12-28 to 2019-12-29","1 Y 2018-01-29 to 2020-01-29","1 Y 2018-02-28 to 2020-02-29","1 Y 2018-03-28 to 2020-03-29","1 Y 2018-04-30 to 2020-04-29","1 Y 2018-05-29 to 2020-05-29","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2015-12-28 to 2017-12-29","2 Y 2016-01-28 to 2018-01-29","2 Y 2016-02-29 to 2018-03-01","2 Y 2016-03-28 to 2018-03-29","2 Y 2016-04-28 to 2018-04-29","2 Y 2016-05-31 to 2018-05-29","2 Y 2016-06-28 to 2018-06-29","2 Y 2016-07-28 to 2018-07-29","2 Y 2016-08-29 to 2018-08-29","2 Y 2016-09-28 to 2018-09-29","2 Y 2016-10-28 to 2018-10-29","2 Y 2016-11-28 to 2018-11-29","2 Y 2016-12-28 to 2018-12-29","2 Y 2017-01-30 to 2019-01-29","2 Y 2017-02-28 to 2019-03-01","2 Y 2017-03-28 to 2019-03-29","2 Y 2017-04-28 to 2019-04-29","2 Y 2017-05-30 to 2019-05-29","2 Y 2017-06-28 to 2019-06-29","2 Y 2017-07-28 to 2019-07-29","2 Y 2017-08-28 to 2019-08-29","2 Y 2017-09-28 to 2019-09-29","2 Y 2017-10-30 to 2019-10-29","2 Y 2017-11-28 to 2019-11-29","2 Y 2017-12-28 to 2019-12-29","2 Y 2018-01-29 to 2020-01-29","2 Y 2018-02-28 to 2020-02-29","2 Y 2018-03-28 to 2020-03-29","2 Y 2018-04-30 to 2020-04-29","2 Y 2018-05-29 to 2020-05-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"P Information Ratio","0.21","0.04","0.61","3.79","2.25","2.32","1.95","2.06","2.59","2.24","-0.14","0.6","-0.11","0.3","0.09","-0.2","-0.08","0.11","0.06","0.48","0.52","0.05","0.84","-0.07","0.81","0.52","0.48","-0.65","-0.03","-0.12","-0.09","0.43","0.5","-0.21","-0.02","0.58","0.89","1.24","1.9","3.27","4.24","3.15","3.24","2.63","3.43","3.46","3.42","3.04","1.49","2.06","2.15","2.99","2.1","1.84","1.7","1.67","1.3","1.66","0.91","0.99","0.08","0.19","0.25","0.3","0.03","1.09","1.27","1.15","1.13","0.67","1.02","0.23","0.25","0.94","0.86","-0.18","-0.05","-0.27","-0.08","0.11","0.06","-0.51","-0.13","0.14","0.52","0.54","0.24","0.17","1.16","0.87","1.04","1.14","1.19","1.26","1.23","1.23"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.09","-0.07","0.27","0.43","0.57","0.49","0.49","0.77","0.75","0.87","0.57","0.11","0.05","-0.05","-0.12","0.03","-0.12","-0.25","-0.05","0.23","0.47","0.32","0.22","-0.12","0.12","0.36","0.11","0.17","-0.14","-0.38","0.02","0.03","0.1","-0.55","-0.18","0.13","0.46","0.66","1.44","1.48","1.3","0.8","1.17","1.22","1.49","1.34","1.16","1.45","0.17","0.24","0.37","0.49","0.48","0.43","0.4","0.56","0.4","0.55","0.58","0.14","0.07","-0.14","0.01","0.09","-0.09","0.25","0.4","0.41","0.48","0.33","0.34","0.02","0.06","0.31","0.19","0.11","-0.15","-0.26","-0.07","-0.09","-0.05","-0.49","-0.23","-0.09","-0.06","-0.01","-0.01","0.07","0.41","0.07","0.25","0.3","0.28","0.31","0.4","0.37"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.07","1.08","0.89","0.96","0.85","0.83","0.95","0.87","0.8","0.85","0.86","1.09","0.95","1.11","1.2","1.19","1.22","1.24","1.12","1.22","1.26","1.19","1.15","1.11","1.06","0.83","0.83","0.89","1.17","1.21","1.25","1.26","1.31","1.23","1.23","1.14","1.21","1.21","0.95","0.98","1.15","1.08","1.08","1.15","1.19","1.13","1.18","0.78","1.22","1.27","1.05","1.09","1","0.99","1.07","0.98","0.92","0.96","0.94","1.09","0.99","1.08","1.13","1.12","1.16","1.19","1.09","1.15","1.17","1.12","1.12","1.08","1.05","0.97","0.96","1.04","1.15","1.17","1.23","1.24","1.27","1.24","1.2","1.15","1.21","1.2","1.13","1.13","1.25","1.19","1.22","1.28","1.33","1.26","1.28","1.31"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","75.28","81.28","90.31","93.06","92.76","89.88","90.16","84.81","88.35","81.52","83.11","88.4","85.4","91.7","98.2","97.53","97.22","93.15","92.59","95.46","92.61","95.6","92.23","95.54","90.2","83.78","90.24","93.63","92.26","95.92","95.6","94.98","95.64","96.59","95.82","94.92","91.21","92.65","89","89.17","91.32","89.75","80.24","78.21","78.64","73.25","79.06","75.01","88.4","82.37","81.69","85.28","86","80.16","81.16","76.39","80.53","75.83","75.6","87.94","85.23","92.23","95.64","95.14","95.4","90.22","90.42","91.58","89.31","92.4","90.86","93.92","91.8","89.19","91.61","93.45","93.64","95.97","96.82","96.33","96.43","97.3","96.61","96.03","92.26","92.88","92.98","93.08","95.79","95.27","92.17","91.62","90.74","90.94","91.2","91.2"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-3.7584","-4.0041","-9.9721","-10.2331","-9.6229","-9.6262","-9.8779","-9.9511","-9.9211","-9.9356","-14.9633","-13.4293","-20.9313","-22.3263","-22.5101","-22.2094","-22.7254","-23.5561","-22.9497","-23.3308","-23.521","-21.8935","-18.2278","-17.076","-6.4703","-5.4977","-12.6784","-37.9462","-38.9687","-38.8535","-39.165","-39.016","-40.127","-38.737","-39.7235","-37.7017","-39.6562","-38.8072","-33.4882","-9.5705","-9.2923","-9.4502","-7.8501","-8.3321","-7.9265","-6.6548","-6.2275","-6.0222","-12.9706","-7.0444","-9.9721","-10.2331","-9.6229","-9.6262","-9.8779","-9.9511","-9.9211","-9.9356","-14.9633","-13.4293","-20.9313","-22.3263","-22.5101","-22.2094","-22.7254","-23.5561","-22.9497","-23.3308","-23.521","-21.922","-21.8684","-21.7068","-21.7231","-20.0375","-19.6645","-37.9462","-38.9687","-38.8535","-39.165","-39.016","-40.127","-38.737","-39.7235","-37.7017","-39.6562","-38.8072","-38.6195","-38.5352","-38.5842","-38.5527","-38.8046","-39.6472","-41.1406","-39.6987","-40.626","-41.0702"
"B Max Drawdown","-2.7968","-2.7968","-10.1596","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-11.3543","-5.7292","-10.1596","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.9616","-1.2073","0.1875","-0.0736000000000008","0.5366","0.533299999999999","0.281599999999999","0.208399999999999","0.2384","0.223899999999999","-4.8038","-3.2548","-1.1531","-2.5481","-2.7319","-2.4312","-2.9472","-3.7779","-3.1715","-3.5526","-3.7428","-2.259","-1.7812","-1.3336","0.3658","1.3384","0.0774000000000008","-4.0212","-5.0437","-4.9285","-5.24","-5.091","-6.20200000000001","-4.812","-5.7985","-3.77670000000001","-5.7312","-4.8822","-4.9679","0.0340000000000007","0.312200000000001","0.154299999999999","1.7543","1.2724","1.678","0.8224","-1.015","-0.809699999999999","-1.6163","-1.3152","0.1875","-0.0736000000000008","0.5366","0.533299999999999","0.281599999999999","0.208399999999999","0.2384","0.223899999999999","-4.8038","-3.2548","-1.1531","-2.5481","-2.7319","-2.4312","-2.9472","-3.7779","-3.1715","-3.5526","-3.7428","-2.1438","-2.0902","-1.9286","-1.9449","-0.259300000000003","0.113699999999998","-4.0212","-5.0437","-4.9285","-5.24","-5.091","-6.20200000000001","-4.812","-5.7985","-3.77670000000001","-5.7312","-4.8822","-4.69450000000001","-4.61020000000001","-4.65920000000001","-4.6277","-4.8796","-5.7222","-7.2156","-5.77370000000001","-6.701","-7.1452"
