"","1 Y 2013-12-11 to 2015-12-12","1 Y 2014-01-13 to 2016-01-12","1 Y 2014-02-11 to 2016-02-12","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2013-12-11 to 2015-12-12","2 Y 2014-01-13 to 2016-01-12","2 Y 2014-02-11 to 2016-02-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","2.37","2.81","0.8","1.16","1.51","0.41","0.84","-0.19","1.14","-0.09","0.07","0.41","3.06","-0.43","5.36","2.22","-0.34","0.35","-0.4","-0.13","0.12","0.6","2.5","3.06","2.34","1.77","1.67","1.84","2.16","1.56","1.7","0.47","0.43","-0.08","0.48","-0.56","-1.38","-1.86","-0.13","-0.9","-0.69","-0.72","-0.69","-0.18","-0.23","-0.3","-0.42","0.67","0.36","0.07","0.58","1.22","1.15","1.22","1.28","1.86","1.63","2.64","4.28","1.86","1.52","0.66","0.28","-1.8","-0.28","-0.75","-1.03","-0.59","-0.97","-0.25","1.09","1.4","0.4","0.86","1.56","1.08","1.42","0.8","1.38","0.58","0.8","0.49","1.27","0.31","1.78","1.06","0.47","0.74","0.13","0.2","0.28","0.28","2.21","2.51","1.95","1.62","2.16","1.88","1.99","2","1.83","1","1.24","0.67","1.11","0.31","-0.31","-0.34","0.98","0.74","1.06","0.79","0.75","0.59","0.43","0.46","-0.14","0.67","1.12","0.78","0.88","0.86","0.95","0.22","0.67","1.11","0.9","1.09","1.79","1","0.33","0.27","-0.31","-0.28","0.29","0.05","-0.26","-0.19","-1.01","-0.22"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.62","1.61","0.47","0.99","1.03","0.11","0.67","-0.12","0.53","0.01","0.03","0.07","0.79","-0.49","1.07","0.73","0.31","0.12","0.13","0.09","0.4","0.42","2.51","2.53","2.45","1.89","0.41","0.76","1.36","0.37","0.71","0.24","0.2","0.18","0.18","-0.36","-0.64","-0.83","-0.33","-0.63","-0.69","-0.53","-0.4","0.02","-0.05","-0.12","-0.38","0.16","0.1","-0.33","-0.01","0.74","0.4","0.16","0.7","1.08","0.79","1.26","1.56","0.81","0.72","0.55","0.3","0.31","0.58","0.32","0.23","0.04","0.27","0.02","0.97","1.08","0.38","0.98","0.95","0.66","0.96","0.49","0.7","0.42","0.43","0.27","0.84","0.14","0.95","0.58","0.45","0.33","0.06","0.02","0.34","0.29","1.21","1.18","1.02","1.05","1.19","0.96","1.32","1.01","0.86","0.56","0.75","0.5","0.8","-0.06","-0.18","-0.26","0.51","0.4","0.4","0.32","0.35","0.16","0.17","0.2","-0.19","0.42","0.7","0.21","0.22","0.61","0.37","-0.03","0.43","0.67","0.4","0.57","0.84","0.58","0.43","0.6","0.02","0.23","0.4","0.42","0.38","0.26","-0.15","0.23"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.79","0.81","0.88","0.86","0.93","0.9","0.94","0.97","1.09","1.05","1.24","1.14","1.23","1.24","1.29","1.11","0.8","0.94","0.98","0.86","0.73","0.71","0.19","0.41","0.39","0.3","1.76","1.3","1.22","1.17","1.17","1.09","1","0.96","1.05","1.16","1.14","1.08","1.27","1.37","1.31","1.24","1.24","1.26","1.18","1.13","1.15","0.98","1.04","1.18","1","0.94","0.92","0.96","0.98","0.99","0.94","1.1","0.97","0.89","0.9","0.8","0.85","0.76","0.76","0.76","0.74","0.79","0.79","0.81","0.79","0.81","0.88","0.83","0.94","0.88","0.95","0.95","1","0.94","0.85","0.78","0.81","0.8","0.88","0.97","0.84","0.88","0.97","0.89","0.73","0.74","0.95","1.1","1.07","0.87","1.06","1","1.02","1.02","1.02","0.98","0.9","0.89","0.96","1.14","1.14","1.14","1.29","1.33","1.29","1.23","1.26","1.2","1.15","1.15","1.14","1.05","1.03","1.05","1.07","0.97","1.01","1.03","1","1.03","0.98","1.14","0.96","0.87","0.86","0.76","0.82","0.74","0.82","0.75","0.73","0.81","0.83","0.8"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","82.4","74.2","66.34","66.31","76.58","76.04","73.66","77.58","75.58","79.81","86.58","92.8","96.13","92.05","80.09","51.2","47.87","36.34","73.24","34.12","26.74","26.84","-10.23","-7.56","-7.27","-9.38","36.21","45.32","49.91","66.43","73.16","67.94","64.39","60.74","71.74","87.91","89.45","91.1","89.69","90.63","87.41","88.99","90.59","92.48","92.62","95.42","94.3","92.53","88.74","92.21","86.79","83.07","94.03","95.92","91.91","91.57","89.51","93.96","95.48","93.64","95.59","93.85","94.53","88.84","83.47","81.13","84.48","86.93","78.34","82.89","51.08","48","52.52","58.9","71.94","66.19","68.37","69.02","73.86","75.25","73","74.73","76.5","78.31","70.41","75.26","77.25","73.4","87.37","82.44","73.53","76.31","48.97","54.79","55.63","24.81","33.06","37.87","43.35","51.04","55.85","50.52","51.31","44.18","44.74","83.77","85.13","90.34","83.24","81.54","80.36","80.3","83.06","84.41","85.13","87.03","88.35","80.92","79.99","83.88","86.71","82.57","91.08","93.17","89.88","91.59","90.85","91.64","92.53","90.7","90.95","88.03","91.78","87.32","89.67","85.51","86.02","86.96","86.32","89.23"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.4481","-13.1901","-17.7377","-17.3074","-18.0172","-18.3554","-18.1611","-18.1474","-17.2444","-15.7975","-15.6409","-12.4963","-12.7795","-8.1086","-5.0559","-5.488","-6.8245","-6.638","-5.8691","-6.4478","-4.6265","-4.5222","-5.8677","-5.5932","-4.8784","-5.9292","-8.9477","-8.9969","-9.8371","-8.8859","-9.2291","-9.0095","-9.4677","-9.4097","-9.6515","-14.0204","-15.8106","-25.8384","-27.0884","-27.7949","-26.4203","-26.3432","-25.7741","-25.0873","-23.691","-22.6223","-18.2682","-15.5843","-12.589","-10.1961","-8.6873","-27.6279","-30.6224","-31.7524","-30.78","-29.7732","-29.8668","-31.6891","-30.1507","-27.2799","-28.0648","-26.8407","-30.9979","-16.7512","-8.6034","-7.26","-6.9102","-7.3197","-7.0888","-6.3707","-13.4481","-13.1901","-17.7377","-17.3074","-18.0172","-18.3554","-18.1611","-18.1474","-17.2444","-15.7975","-16.5762","-15.2899","-12.9796","-12.3713","-13.2581","-13.4154","-14.1129","-17.4105","-17.3153","-16.417","-15.4492","-14.3915","-17.5106","-16.8629","-15.9601","-10.7778","-8.9477","-8.9969","-9.8371","-8.8859","-9.2291","-9.0095","-9.4677","-9.4097","-9.6515","-14.0204","-15.8106","-25.8384","-27.0884","-27.7949","-26.4203","-26.3432","-25.7741","-25.0873","-23.691","-22.6223","-22.0136","-21.3773","-21.4321","-23.1899","-23.2462","-27.6279","-30.6224","-31.7524","-30.78","-29.7732","-29.8668","-31.6891","-30.1507","-27.2799","-28.0648","-26.8407","-30.9979","-30.2181","-29.1864","-28.7792","-27.6002","-27.5762","-31.6892","-30.3359"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1205","-5.1204","-5.1204","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-7.9326","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.120200000000001","0.1378","-4.4098","-3.9795","-4.6893","-5.0275","-4.8332","-4.8195","-5.4082","-3.9613","-3.8047","-1.0827","-2.2533","-2.9881","0.0645999999999995","-0.3676","-1.7041","-1.5176","-1.0223","-1.805","0.0163000000000002","-0.4358","-2.6353","-2.6899","-1.9751","-3.0259","1.3907","1.3415","1.3357","2.2869","1.9437","2.1633","1.7051","1.7631","1.5213","-2.8476","-4.6378","-5.8791","-7.1291","-7.8356","-6.461","-6.3839","-5.8148","-5.128","-3.7317","-2.663","-1.5266","0.228299999999999","-1.0906","-2.527","-1.0182","-1.5893","0.908799999999999","-0.221200000000003","0.751199999999997","1.758","1.6644","-0.157900000000001","1.3805","4.2513","3.4664","4.6905","0.533299999999997","-0.812000000000001","1.8987","3.2421","3.5919","3.1824","3.4133","1.5619","-0.120200000000001","0.1378","-4.4098","-3.9795","-4.6893","-5.0275","-4.8332","-4.8195","-3.9165","-2.4696","-3.2483","-1.962","0.3483","0.9566","0.069799999999999","-0.0875000000000004","-0.785","-4.0826","-3.9874","-3.0891","-3.613","-2.5553","-5.6744","-5.4493","-5.4339","-5.6574","1.3907","1.3415","1.3357","2.2869","1.9437","2.1633","1.7051","1.7631","1.5213","-2.8476","-4.6378","-5.8791","-7.1291","-7.8356","-6.461","-6.3839","-5.8148","-5.128","-3.7317","-2.663","-2.0543","-1.418","-1.4728","-3.2306","-3.2869","-1.5893","0.908799999999999","-0.221200000000003","0.751199999999997","1.758","1.6644","-0.157900000000001","1.3805","4.2513","3.4664","4.6905","0.533299999999997","1.3131","2.3448","2.752","3.931","3.955","-0.158000000000001","1.1953"
