"","2013-09-11_to_2015-09-12_VGPortfolio_3QRank","2013-10-11_to_2015-10-12_VGPortfolio_3QRank","2013-11-11_to_2015-11-12_VGPortfolio_3QRank","2013-12-11_to_2015-12-12_VGPortfolio_3QRank","2014-01-13_to_2016-01-12_VGPortfolio_3QRank","2014-02-11_to_2016-02-12_VGPortfolio_3QRank","2014-03-11_to_2016-03-12_VGPortfolio_3QRank","2014-04-11_to_2016-04-12_VGPortfolio_3QRank","2014-05-12_to_2016-05-12_VGPortfolio_3QRank","2014-06-11_to_2016-06-12_VGPortfolio_3QRank","2014-07-11_to_2016-07-12_VGPortfolio_3QRank","2014-08-11_to_2016-08-12_VGPortfolio_3QRank","2014-09-11_to_2016-09-12_VGPortfolio_3QRank","2014-10-13_to_2016-10-12_VGPortfolio_3QRank","2014-11-11_to_2016-11-12_VGPortfolio_3QRank","2014-12-11_to_2016-12-12_VGPortfolio_3QRank","2015-01-12_to_2017-01-12_VGPortfolio_3QRank","2015-02-11_to_2017-02-12_VGPortfolio_3QRank","2015-03-11_to_2017-03-12_VGPortfolio_3QRank","2015-04-13_to_2017-04-12_VGPortfolio_3QRank","2015-05-11_to_2017-05-12_VGPortfolio_3QRank","2015-06-11_to_2017-06-12_VGPortfolio_3QRank","2015-07-13_to_2017-07-12_VGPortfolio_3QRank","2015-08-11_to_2017-08-12_VGPortfolio_3QRank","2015-09-11_to_2017-09-12_VGPortfolio_3QRank","2015-10-12_to_2017-10-12_VGPortfolio_3QRank","2015-11-11_to_2017-11-12_VGPortfolio_3QRank","2015-12-11_to_2017-12-12_VGPortfolio_3QRank","2016-01-11_to_2018-01-12_VGPortfolio_3QRank","2016-02-11_to_2018-02-12_VGPortfolio_3QRank","2016-03-11_to_2018-03-12_VGPortfolio_3QRank","2016-04-11_to_2018-04-12_VGPortfolio_3QRank","2016-05-11_to_2018-05-12_VGPortfolio_3QRank","2016-06-13_to_2018-06-12_VGPortfolio_3QRank","2016-07-11_to_2018-07-12_VGPortfolio_3QRank","2016-08-11_to_2018-08-12_VGPortfolio_3QRank","2016-09-12_to_2018-09-12_VGPortfolio_3QRank","2016-10-11_to_2018-10-12_VGPortfolio_3QRank","2016-11-11_to_2018-11-12_VGPortfolio_3QRank","2016-12-12_to_2018-12-12_VGPortfolio_3QRank","2017-01-11_to_2019-01-12_VGPortfolio_3QRank","2017-02-13_to_2019-02-12_VGPortfolio_3QRank","2017-03-13_to_2019-03-12_VGPortfolio_3QRank","2017-04-11_to_2019-04-12_VGPortfolio_3QRank","2017-05-11_to_2019-05-12_VGPortfolio_3QRank","2017-06-12_to_2019-06-12_VGPortfolio_3QRank","2017-07-11_to_2019-07-12_VGPortfolio_3QRank","2017-08-11_to_2019-08-12_VGPortfolio_3QRank","2017-09-11_to_2019-09-12_VGPortfolio_3QRank","2017-10-11_to_2019-10-12_VGPortfolio_3QRank","2017-11-13_to_2019-11-12_VGPortfolio_3QRank","2017-12-11_to_2019-12-12_VGPortfolio_3QRank","2018-01-11_to_2020-01-12_VGPortfolio_3QRank","2018-02-12_to_2020-02-12_VGPortfolio_3QRank","2018-03-12_to_2020-03-12_VGPortfolio_3QRank","2018-04-11_to_2020-04-12_VGPortfolio_3QRank","2018-05-11_to_2020-05-12_VGPortfolio_3QRank","2018-06-11_to_2020-06-12_VGPortfolio_3QRank","2018-07-11_to_2020-07-12_VGPortfolio_3QRank","2018-08-13_to_2020-08-12_VGPortfolio_3QRank","2018-09-11_to_2020-09-12_VGPortfolio_3QRank","2018-10-11_to_2020-10-12_VGPortfolio_3QRank","2018-11-12_to_2020-11-12_VGPortfolio_3QRank","2018-12-11_to_2020-12-12_VGPortfolio_3QRank","2019-01-11_to_2021-01-12_VGPortfolio_3QRank","2019-02-11_to_2021-02-12_VGPortfolio_3QRank","2019-03-11_to_2021-03-12_VGPortfolio_3QRank","2019-04-11_to_2021-04-12_VGPortfolio_3QRank","2019-05-13_to_2021-05-12_VGPortfolio_3QRank","2019-06-11_to_2021-06-12_VGPortfolio_3QRank","2019-07-11_to_2021-07-12_VGPortfolio_3QRank","2019-08-12_to_2021-08-12_VGPortfolio_3QRank","2019-09-11_to_2021-09-12_VGPortfolio_3QRank"
"P Information Ratio","0.78","1.16","0.96","1.18","0.92","0.77","0.88","1.54","1.6","0.84","1.12","0.99","1.51","1.21","1.04","1.32","1.86","1.42","-0.34","-0.19","0.28","0.04","-0.06","0.59","2.08","2.4","2.24","2.2","2.48","3.5","2.51","2.4","2.06","2.46","1.84","1.23","2.21","1.46","0.72","0.5","0.65","0.44","-0.25","-0.36","-0.14","-0.41","-0.53","0.33","0.1","0.21","0.05","-0.5","0.01","0.51","-0.51","0.55","0.69","0.63","0.49","-0.22","1.02","0.84","-0.03","0.07","1.63","-0.99","1.52","1.51","1.14","1.58","-0.22","1.47","0.85"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.38","0.66","0.56","0.69","0.54","0.44","0.48","0.67","0.65","0.38","0.48","0.45","0.58","0.38","0.39","0.51","0.41","0.35","-0.08","0.06","0.1","0.14","0.14","0.33","0.91","0.72","0.64","0.53","0.71","0.71","0.52","0.61","0.5","0.62","0.54","0.43","0.53","0.54","0.16","0.13","0.08","0.1","0.02","-0.11","-0.1","-0.16","-0.23","0.01","0.09","0.09","0.04","-0.04","0.08","0.21","-0.1","0.12","0.16","0.18","0.12","-0.04","0.48","0.19","-0.01","-0.1","0.18","-0.41","0.61","0.72","0.53","0.66","0.17","0.46","0.12"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.77","0.78","0.76","0.73","0.66","0.71","0.79","0.91","0.9","0.88","0.78","0.84","0.95","0.91","0.94","1","1","0.96","0.95","0.9","0.92","0.81","0.76","0.83","0.84","1","1.04","1.08","0.99","1.13","1.12","1.11","1.14","1.02","0.99","0.98","0.99","0.94","0.91","0.94","0.99","0.97","1.02","1.01","1.07","1.04","1.02","1.01","0.96","0.96","0.96","0.93","0.88","0.87","0.92","0.91","0.91","0.94","1.06","0.96","1.14","1.15","1","1.07","1.13","1","1.09","1.05","1.13","1.17","0.87","1.2","1.22"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","77.8","71.14","78.95","75.28","70.86","73.52","84.04","84.78","84.31","87.39","82.86","83.76","88.68","88.83","83.85","89.7","92.18","92.7","90.99","93.43","90.6","86.86","85.31","89.02","75.31","79.89","79.25","79.38","68.67","72.64","79.2","79.03","76.07","84.67","78.94","75.15","84.03","77.7","91.9","94.35","95.74","95.12","93.55","91.46","93.85","94.54","94.44","95.49","96.11","95.02","95.88","94.89","94.98","95.96","95.97","97.14","96.84","96.99","97.14","96.32","94.66","94.55","98.27","95.15","96.42","92.71","91.31","90.71","88.16","89.64","92.48","90.33","90.55"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.4084","-11.4157","-11.5224","-11.8283","-12.2054","-12.3729","-12.7136","-14.6179","-15.2054","-14.5037","-13.3376","-13.7953","-14.3353","-14.4068","-15.8151","-15.4301","-14.9858","-13.4135","-14.1642","-13.6119","-14.4907","-14.8602","-12.408","-12.1906","-13.4863","-13.3216","-12.5494","-12.7234","-7.6447","-9.299","-9.5345","-10.8634","-11.0454","-10.0375","-9.4356","-9.6882","-10.5237","-10.6361","-9.8774","-10.5993","-19.2309","-19.5191","-20.529","-21.472","-22.4973","-21.5015","-20.5153","-19.8121","-20.232","-19.9024","-20.2232","-18.9439","-18.2391","-17.9221","-27.0854","-31.6197","-31.1435","-30.8019","-33.8585","-32.3521","-34.8096","-34.7187","-33.7156","-36.3508","-35.2326","-36.7086","-34.9126","-31.9015","-33.0609","-34.7201","-30.4733","-35.1189","-34.7705"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.919499999999999","1.9122","1.8055","1.4996","1.1225","0.955","0.6143","-1.29","-1.8775","-1.1758","-0.00970000000000049","-0.4674","-1.0074","-1.0789","-2.4872","-2.1022","-1.6579","-0.0856000000000012","-0.8363","-0.284000000000001","-1.1628","-1.5323","0.9199","-0.3544","-1.6501","-1.4854","-1.1358","-2.1972","-2.5243","1.0394","0.803900000000001","0.3094","0.1274","1.1353","1.7372","1.4846","0.649100000000001","0.5367","1.2954","0.573500000000001","0.728400000000001","0.440199999999997","-0.569700000000001","-1.5127","-2.538","-1.5422","-0.556000000000001","0.147199999999998","-0.2727","0.0568999999999988","-0.2639","1.0154","1.7202","2.0372","-1.0468","-0.0885000000000034","0.387699999999999","0.729299999999999","-2.3273","-0.820900000000002","-3.2784","-3.1875","-2.1844","-4.8196","-3.7014","-5.1774","-3.3814","-0.3703","-1.5297","-3.1889","1.0579","-3.5877","-3.2393"
