"","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","0.12","1.56","1.13","0.89","0.46","0.29","0.22","0.03","0.08","-0.97","-0.5","1.6","3.19","2.55","0.32","0.67","0.15","0.71","1.11","3.21","3.87","2.74","2.37","1.93","2.35","1.73","1.59","2.21","1.8","0.91","0.69","0.69","-0.6","-0.15","-0.17","-0.06","-1.72","-1.57","-1.03","-1.26","-0.39","-0.38","-0.33","-0.03","0.43","0.2","-0.11","1.47","1.32","0.84","2.61","1.68","2.44","2.24","2.86","4.6","1.69","0.81","1.58","1.66","0.6","-1.03","-1.41","-0.92","-0.17","-0.66","-0.45","0.39","2.09","1.54","1.36","1.11","0.98","0.92","0.94","0.79","0.2","0.38","0.83","1.43","1.68","0.57","0.38","0.17","0.67","0.66","2.41","2.57","1.76","2.18","2.66","2.55","2.01","2.01","2.06","1.98","1.63","1.19","1.35","0.74","1","1.19","0.92","0.37","0.77","0.72","0.38","0.59","0.27","0.32","-0.06","0.4","0.56","0.44","1.08","0.97","0.87","1.11","0.63","1.27","1.07","1.26","1.91","0.93","0.09","0.78","0.69","0.45","0.33","0.19","-0.3","0.46","-0.31","-0.2"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.19","1.11","0.54","0.59","0.3","0.02","0.24","0.01","0.06","-0.24","-0.45","0.21","1.08","1.72","0.25","0.53","0.21","0.69","0.48","2.2","2.23","2.23","2.04","0.21","1.08","0.97","0.58","1.32","1","0.3","0.6","0.38","-0.22","-0.19","-0.36","-0.21","-0.83","-0.88","-0.77","-0.79","-0.13","-0.12","-0.14","-0.3","-0.01","-0.49","-0.54","0.12","0.62","0.37","0.71","0.8","1.27","0.93","1.39","1.71","0.73","0.48","0.71","0.72","0.45","0.3","0.19","0.3","0.14","0.37","-0.08","0.57","1.26","0.86","0.95","0.69","0.54","0.65","0.47","0.54","0.31","0.09","0.48","0.91","1.17","0.2","0.21","0.11","0.44","0.28","1.01","0.95","0.78","1.16","1.09","1.21","1.2","1.15","1.4","1.36","0.96","0.85","1.01","0.29","0.33","0.4","0.48","0.1","0.07","0.24","0.09","0.12","0.08","0.13","-0.21","0.07","0.21","-0.03","0.24","0.66","0.41","0.36","0.4","0.74","0.49","0.61","0.92","0.52","0.15","0.46","0.27","0.41","0.55","0.53","0.32","0.46","0.23","0.37"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.92","0.89","0.91","0.88","0.94","0.96","1.04","1.37","1.23","1.03","1.22","1.15","1.02","0.82","0.87","0.81","0.87","0.78","0.96","0.46","0.64","0.57","0.41","1.91","1.35","1.32","1.31","1.21","1.16","1","0.96","0.93","1.17","1.19","1.04","1.24","1.16","1.16","1.25","1.3","1.3","1.23","1.18","1.31","1.21","1.31","1.29","1.22","1","0.91","0.93","1.02","0.96","0.95","1.08","0.99","0.94","0.97","0.93","0.94","0.96","0.75","0.78","0.7","0.83","0.79","0.77","0.95","0.88","0.91","0.87","0.94","0.91","0.98","0.95","0.89","0.89","0.91","0.84","0.79","0.86","0.8","0.84","0.85","0.83","0.92","1.05","1.12","1.16","0.93","1.19","1.07","1.09","1.05","0.94","0.95","0.9","0.85","0.87","1.13","1.16","1.16","1.25","1.13","1.13","1.24","1.3","1.26","1.19","1.18","1.22","1.22","1.21","1.16","1.16","1.03","0.99","1.01","1.03","1.01","0.99","1.09","0.98","0.9","0.95","0.92","0.92","0.88","0.73","0.77","0.74","0.85","0.77","0.71"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","65.07","75.79","75.6","72.24","70.35","72.93","75.21","76.67","87.81","88.46","91.97","66.7","51.57","33.9","74.91","69.82","47.24","17.99","38.62","-3.08","0.64","-0.96","-7.61","50.97","45.6","53.79","56.2","63.08","57.97","66.54","62.33","66.78","84.47","88.39","88.98","88.42","95.09","94.99","90.33","92.38","92.49","92.33","93.75","91.67","93.24","94.45","94.92","85.66","85.25","93.5","94.13","91.85","91.45","91.46","93.58","94.74","93.22","92.44","93.68","94.26","89.7","82.81","82.09","88.42","88.04","84.51","61.3","68.89","68.86","69.79","64.39","67.46","69.42","73.41","71.5","75.7","82.57","83.73","67.89","65.62","69.12","86.67","87.15","85.43","71.08","78.31","64.46","64.09","64.11","31.28","45.74","41.55","46.72","41.54","37.65","35.88","48.62","41.24","39.87","68.86","77.34","83.12","84.9","89.06","85.91","82.49","86.3","85.06","84.5","84.77","86.24","87.2","88.39","90.56","84.6","83.27","89.04","91.17","90.66","91","90.61","91.58","91.24","90.74","90.36","90.43","92.71","90.13","86.92","84.56","87.58","88.81","86.59","78.72"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.702","-16.8782","-17.2079","-17.1938","-17.8845","-16.5787","-16.7116","-18.2939","-16.0612","-12.5821","-7.0799","-6.1394","-5.0905","-5.5225","-5.8099","-4.7701","-6.2409","-5.1602","-5.4576","-4.7403","-4.7087","-5.0225","-5.4432","-9.6669","-9.1171","-10.542","-9.8015","-8.9174","-9.0666","-9.0628","-8.5179","-9.1562","-14.7694","-15.1068","-23.4049","-26.0016","-23.2416","-24.8294","-26.4789","-26.694","-25.1412","-24.4192","-24.0787","-20.2628","-17.7103","-12.9909","-10.4277","-10.7181","-27.1006","-30.3221","-30.0761","-31.109","-30.2099","-30.8013","-32.2012","-29.3281","-26.8749","-29.7204","-29.8574","-29.9522","-13.6671","-9.0268","-9.2865","-7.8714","-8.1018","-7.1393","-8.3302","-20.702","-16.8782","-17.2079","-17.1938","-17.8845","-16.8442","-16.7116","-18.2939","-16.0612","-13.5323","-13.3937","-15.1197","-14.3813","-15.8891","-14.1091","-14.4952","-15.0341","-15.512","-15.2343","-15.2116","-16.8732","-16.0535","-11.1287","-9.6669","-9.1171","-10.542","-9.8015","-8.9174","-9.0666","-9.0628","-8.5179","-9.1562","-14.7694","-15.1068","-23.4049","-26.0016","-23.2416","-24.8294","-26.4789","-26.694","-25.1412","-24.4192","-24.0787","-24.5991","-25.2176","-24.1231","-23.8947","-23.498","-27.1006","-30.3221","-30.0761","-31.109","-30.2099","-30.8013","-32.2012","-29.3281","-26.8749","-29.7204","-29.8574","-29.9522","-28.559","-26.781","-26.5685","-29.2223","-27.9244","-28.8326","-27.0312"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1205","-5.1204","-5.1204","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-7.9326","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-7.3741","-3.5503","-3.88","-3.8659","-4.5566","-4.7425","-4.8754","-6.4577","-4.6476","-2.0559","-1.9594","-1.0189","0.0299000000000005","-0.4021","-0.6895","0.0766999999999998","-1.5981","-0.517399999999999","-1.3712","-1.5079","-1.8054","-2.1192","-2.5399","0.6715","1.2213","0.630800000000001","1.3713","2.2554","2.1062","2.11","2.6549","2.0166","-3.5966","-3.934","-3.4456","-6.0423","-3.2823","-4.8701","-6.5196","-6.7347","-5.1819","-4.4599","-4.1194","-3.5212","-1.8977","-1.4925","-2.7586","-3.049","-1.062","1.2091","1.4551","0.422199999999997","1.3213","0.729899999999997","-0.670000000000002","2.2031","4.6563","1.8108","1.6738","1.579","2.2721","1.4753","1.2156","2.6307","2.4003","3.3628","-0.3976","-7.3741","-3.5503","-3.88","-3.8659","-4.5566","-3.5163","-3.3837","-4.966","-2.7333","-0.2044","-0.0658000000000012","-1.7918","-1.0534","-2.5612","-0.7812","-1.1673","-1.7062","-3.6758","-3.3981","-3.3754","-5.4596","-5.5273","-6.0083","0.6715","1.2213","0.630800000000001","1.3713","2.2554","2.1062","2.11","2.6549","2.0166","-3.5966","-3.934","-3.4456","-6.0423","-3.2823","-4.8701","-6.5196","-6.7347","-5.1819","-4.4599","-4.1194","-4.6398","-5.2583","-4.1638","-3.9354","-3.5387","-1.062","1.2091","1.4551","0.422199999999997","1.3213","0.729899999999997","-0.670000000000002","2.2031","4.6563","1.8108","1.6738","1.579","2.9722","4.7502","4.9627","2.3089","3.6068","2.6986","4.5"
