"","2013-03-12_to_2015-03-13_CorePortfolio_1QRank","2013-04-12_to_2015-04-13_CorePortfolio_1QRank","2013-05-13_to_2015-05-13_CorePortfolio_1QRank","2013-06-12_to_2015-06-13_CorePortfolio_1QRank","2013-07-12_to_2015-07-13_CorePortfolio_1QRank","2013-08-12_to_2015-08-13_CorePortfolio_1QRank","2013-09-12_to_2015-09-13_CorePortfolio_1QRank","2013-10-14_to_2015-10-13_CorePortfolio_1QRank","2013-11-12_to_2015-11-13_CorePortfolio_1QRank","2013-12-12_to_2015-12-13_CorePortfolio_1QRank","2014-01-13_to_2016-01-13_CorePortfolio_1QRank","2014-02-12_to_2016-02-13_CorePortfolio_1QRank","2014-03-12_to_2016-03-13_CorePortfolio_1QRank","2014-04-14_to_2016-04-13_CorePortfolio_1QRank","2014-05-12_to_2016-05-13_CorePortfolio_1QRank","2014-06-12_to_2016-06-13_CorePortfolio_1QRank","2014-07-14_to_2016-07-13_CorePortfolio_1QRank","2014-08-12_to_2016-08-13_CorePortfolio_1QRank","2014-09-12_to_2016-09-13_CorePortfolio_1QRank","2014-10-13_to_2016-10-13_CorePortfolio_1QRank","2014-11-12_to_2016-11-13_CorePortfolio_1QRank","2014-12-12_to_2016-12-13_CorePortfolio_1QRank","2015-01-12_to_2017-01-13_CorePortfolio_1QRank","2015-02-12_to_2017-02-13_CorePortfolio_1QRank","2015-03-12_to_2017-03-13_CorePortfolio_1QRank","2015-04-13_to_2017-04-13_CorePortfolio_1QRank","2015-05-12_to_2017-05-13_CorePortfolio_1QRank","2015-06-12_to_2017-06-13_CorePortfolio_1QRank","2015-07-13_to_2017-07-13_CorePortfolio_1QRank","2015-08-12_to_2017-08-13_CorePortfolio_1QRank","2015-09-14_to_2017-09-13_CorePortfolio_1QRank","2015-10-12_to_2017-10-13_CorePortfolio_1QRank","2015-11-12_to_2017-11-13_CorePortfolio_1QRank","2015-12-14_to_2017-12-13_CorePortfolio_1QRank","2016-01-12_to_2018-01-13_CorePortfolio_1QRank","2016-02-12_to_2018-02-13_CorePortfolio_1QRank","2016-03-14_to_2018-03-13_CorePortfolio_1QRank","2016-04-12_to_2018-04-13_CorePortfolio_1QRank","2016-05-12_to_2018-05-13_CorePortfolio_1QRank","2016-06-13_to_2018-06-13_CorePortfolio_1QRank","2016-07-12_to_2018-07-13_CorePortfolio_1QRank","2016-08-12_to_2018-08-13_CorePortfolio_1QRank","2016-09-12_to_2018-09-13_CorePortfolio_1QRank","2016-10-12_to_2018-10-13_CorePortfolio_1QRank","2016-11-14_to_2018-11-13_CorePortfolio_1QRank","2016-12-12_to_2018-12-13_CorePortfolio_1QRank","2017-01-12_to_2019-01-13_CorePortfolio_1QRank","2017-02-13_to_2019-02-13_CorePortfolio_1QRank","2017-03-13_to_2019-03-13_CorePortfolio_1QRank","2017-04-12_to_2019-04-13_CorePortfolio_1QRank","2017-05-12_to_2019-05-13_CorePortfolio_1QRank","2017-06-12_to_2019-06-13_CorePortfolio_1QRank","2017-07-12_to_2019-07-13_CorePortfolio_1QRank","2017-08-14_to_2019-08-13_CorePortfolio_1QRank","2017-09-12_to_2019-09-13_CorePortfolio_1QRank","2017-10-12_to_2019-10-13_CorePortfolio_1QRank","2017-11-13_to_2019-11-13_CorePortfolio_1QRank","2017-12-12_to_2019-12-13_CorePortfolio_1QRank","2018-01-12_to_2020-01-13_CorePortfolio_1QRank","2018-02-12_to_2020-02-13_CorePortfolio_1QRank","2018-03-12_to_2020-03-13_CorePortfolio_1QRank","2018-04-12_to_2020-04-13_CorePortfolio_1QRank","2018-05-14_to_2020-05-13_CorePortfolio_1QRank","2018-06-12_to_2020-06-13_CorePortfolio_1QRank","2018-07-12_to_2020-07-13_CorePortfolio_1QRank","2018-08-13_to_2020-08-13_CorePortfolio_1QRank","2018-09-12_to_2020-09-13_CorePortfolio_1QRank","2018-10-12_to_2020-10-13_CorePortfolio_1QRank","2018-11-12_to_2020-11-13_CorePortfolio_1QRank","2018-12-12_to_2020-12-13_CorePortfolio_1QRank","2019-01-14_to_2021-01-13_CorePortfolio_1QRank","2019-02-12_to_2021-02-13_CorePortfolio_1QRank","2019-03-12_to_2021-03-13_CorePortfolio_1QRank","2019-04-12_to_2021-04-13_CorePortfolio_1QRank","2019-05-13_to_2021-05-13_CorePortfolio_1QRank","2019-06-12_to_2021-06-13_CorePortfolio_1QRank","2019-07-12_to_2021-07-13_CorePortfolio_1QRank","2019-08-12_to_2021-08-13_CorePortfolio_1QRank","2019-09-12_to_2021-09-13_CorePortfolio_1QRank"
"P Information Ratio","0.95","0.84","0.52","1.66","1.7","1.52","1.47","0.74","0.62","0.16","1.13","0.42","0.52","1.01","0.38","0.88","1.7","2.11","1.72","1.15","2.06","1.25","0.48","0.82","0.57","0.38","0.26","-0.19","0.8","0.54","0.06","0.95","0.55","0.64","-0.11","2.27","2.31","-0.73","-0.92","-0.55","-0.27","-0.41","0.53","0.55","0.62","0.92","0.78","1.42","0.16","0.88","0.04","0.32","-0.75","-0.41","-0.12","-0.18","-0.9","-0.06","-0.69","-0.34","-0.88","-0.81","-1.59","-0.18","-0.62","-1.4","-0.85","-1.32","-0.18","-1.16","-0.96","-0.09","-0.48","-1.07","-0.6","-0.67","-1.04","0.71","-1.29"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.44","0.23","0.2","0.45","0.53","0.39","0.32","0.21","0.14","0.14","0.24","0.17","0.17","0.29","0.16","0.25","0.44","0.53","0.54","0.4","0.36","0.42","0.16","0.2","0.11","0.15","0.08","0.01","0.23","0.26","0.16","0.26","0.14","0.09","0.06","0.25","0.41","-0.01","-0.05","-0.07","0","0.03","0.14","0.13","0.16","0.22","0.2","0.29","0.1","0.25","0.01","0.09","-0.09","-0.04","-0.03","0.04","-0.18","0.06","-0.08","-0.02","-0.1","-0.25","-0.49","-0.02","-0.21","-0.41","-0.33","-0.38","-0.15","-0.37","-0.26","-0.06","-0.15","-0.23","-0.17","-0.02","-0.16","0.06","-0.3"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.91","0.93","0.91","0.96","0.98","0.99","1.01","1","0.96","0.89","0.98","0.95","0.92","0.91","0.91","0.89","0.93","0.9","0.88","0.84","0.88","0.94","0.9","0.89","0.95","0.95","1","0.92","0.9","0.88","0.84","0.93","0.96","0.99","0.97","1.14","1.02","0.89","0.98","1.03","1.02","0.97","0.92","0.92","0.92","0.91","0.92","0.99","0.96","0.92","0.91","0.95","0.95","0.92","0.92","0.92","0.94","0.91","0.93","0.91","0.94","0.93","0.98","0.98","0.92","0.97","0.94","0.92","1.06","0.99","0.99","1.07","0.98","0.97","0.93","0.92","0.89","1.13","0.92"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","75.47","94.79","90.56","87.61","84.8","86.89","90.86","92.39","93.82","94.52","94.15","91.46","93.56","95.1","92.55","92.11","94.12","93.73","93.1","91.39","96.49","93.49","93.75","95.88","96.5","93.97","94.81","95.13","93.68","91.81","90.94","95.91","93.17","94.15","89.97","84.97","85.39","92.05","92.88","95.77","92.84","95.31","94.36","91.85","94.3","92.62","95","94.84","95.27","93.01","90.46","97.22","96.26","97.17","96.12","97.23","96.44","97.19","97.28","96.5","96.67","95.01","95.39","97.1","96.07","95.56","96.28","94.86","96.93","94.23","96.35","94.87","95.97","92.9","94.18","94.93","91.62","92.37","91.94"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.3969","-6.392","-7.4265","-7.8805","-7.9046","-8.0179","-12.1988","-11.8615","-11.5454","-11.6049","-12.1543","-14.4287","-12.9314","-12.8052","-13.5838","-12.5717","-12.7722","-13.2123","-11.7533","-12.925","-11.8868","-14.0952","-14.4305","-11.989","-13.0616","-14.1105","-15.5789","-13.5685","-11.3485","-13.0981","-11.9595","-11.8982","-11.7839","-11.9225","-5.6701","-10.1457","-9.8187","-10.1602","-11.842","-11.6508","-11.1268","-10.798","-10.464","-10.8609","-11.0682","-10.9813","-17.5952","-17.2253","-16.744","-16.2793","-16.198","-18.3079","-18.3854","-17.5855","-17.3746","-17.22","-18.5863","-17.8778","-17.6013","-17.1085","-27.2561","-33.5148","-35.6602","-34.8147","-33.3069","-34.3344","-33.6388","-34.4426","-36.2741","-33.964","-33.2086","-35.948","-33.6297","-34.3431","-33.2511","-32.624","-33.0163","-34.2809","-34.2036"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.112900000000001","1.1178","0.0833000000000004","-0.370699999999999","-0.3948","-0.508099999999999","1.1291","1.4664","1.7825","1.723","1.1736","-1.1008","0.3965","0.5227","-0.2559","0.7562","0.5557","0.115599999999999","1.5746","0.402899999999999","1.4411","-0.767300000000001","-1.1026","1.3389","0.266299999999999","-0.7826","-2.251","-0.240600000000001","1.9794","-1.2619","-0.1233","-0.0619999999999994","-0.370299999999999","-1.3963","-0.5496","0.1927","0.5197","1.0126","-0.6692","-0.478","0.0460000000000012","0.3748","0.7088","0.3119","0.104600000000001","0.191500000000001","2.3641","2.734","3.2153","3.68","3.7613","1.6514","1.5739","2.3738","2.5847","2.7393","1.373","2.0815","2.358","2.8508","-1.2175","-1.9836","-4.129","-3.2835","-1.7757","-2.8032","-2.10760000000001","-2.9114","-4.7429","-2.4328","-1.6774","-4.4168","-2.0985","-2.8119","-1.7199","-1.0928","-1.4851","-2.7497","-2.6724"
